mode,b_tokens,step,gap_ms
colocated,16384,54,15.739195999998401
colocated,16384,55,15.50156700000116
colocated,16384,56,15.720943999994574
colocated,16384,57,15.649042999996254
colocated,16384,58,15.605544999999665
colocated,16384,59,15.68355700000268
colocated,16384,60,15.928813000002151
colocated,16384,61,16.063275999997018
colocated,16384,62,15.960812000002988
colocated,16384,63,16.171818000003668
colocated,16384,64,16.015649999999937
colocated,16384,65,16.13291399999639
colocated,16384,66,15.796257999994623
colocated,16384,67,16.299319000012247
colocated,16384,68,16.137915999991037
colocated,16384,69,15.725674999998773
colocated,16384,70,16.084898000002568
colocated,16384,71,15.535678999995639
colocated,16384,72,16.025675000008732
colocated,16384,73,16.121877000003337
colocated,16384,74,15.777990999993108
colocated,16384,75,15.146489000002816
colocated,16384,76,14.65597099999627
colocated,16384,77,14.013340000005314
colocated,16384,78,14.229872000001365
colocated,16384,79,14.071005999994668
colocated,16384,80,13.929528999995
colocated,16384,81,13.54156200000034
colocated,16384,82,13.925589999999488
colocated,16384,83,13.786534000004735
colocated,16384,84,14.44684999999879
colocated,16384,85,14.766136000005758
colocated,16384,86,16.878485999995974
colocated,16384,87,15.261538000004293
colocated,16384,88,14.77285400000028
colocated,16384,89,14.458206000000473
colocated,16384,90,15.107195999988221
colocated,16384,91,14.77281400001118
colocated,16384,92,14.98384699999633
colocated,16384,93,14.79949199999453
colocated,16384,94,15.462370000008718
colocated,16384,95,15.109789999996792
colocated,16384,96,15.305378999997288
colocated,16384,97,15.166063999998869
colocated,16384,98,15.0472480000019
colocated,16384,99,15.293635999995558
chunked-512,16384,0,14.937862000010682
chunked-512,16384,1,14.937184999993747
chunked-512,16384,2,14.794266999999195
chunked-512,16384,3,14.90404000000467
chunked-512,16384,4,15.019008999999528
chunked-512,16384,5,15.168055000003733
chunked-512,16384,6,14.919764999987706
chunked-512,16384,7,15.252802000006227
chunked-512,16384,8,14.967501000000993
chunked-512,16384,9,15.878991999997538
chunked-512,16384,10,14.623197999995341
chunked-512,16384,11,14.555005000005394
chunked-512,16384,12,14.532998000007069
chunked-512,16384,13,14.175673999986316
chunked-512,16384,14,14.481609000000617
chunked-512,16384,15,14.623184000001288
chunked-512,16384,16,14.568934999999783
chunked-512,16384,17,15.129418000000783
chunked-512,16384,18,16.97613600001091
chunked-512,16384,19,17.773470999998153
chunked-512,16384,20,35.85189899999364
chunked-512,16384,21,37.016868999998565
chunked-512,16384,22,37.81767700000671
chunked-512,16384,23,34.221645000002354
chunked-512,16384,24,32.65286399999923
chunked-512,16384,25,33.87872300000083
chunked-512,16384,26,36.63471399998741
